Utpal,/gp/profile/amzn1.account.AFITSLPEEEUMGSPNPIYXWXQNSPMA,"Now I know why people use an iPhone, especially the 7, much improved than 6s, best VFM phone",/gp/customer-reviews/R2DO8TSERQ1U4K?ASIN=B01LZKSVRB,"Redmi phones cameras are great, of course iPhone is better but is the 6 more Redmi phones that I can get for 1 iPhone justifiable for such a difference in price? Well, absolutely yes."
Keshav Singh,/gp/profile/amzn1.account.AGDFY4SAA4IYW3P7BCZCHALP2HDQ,100% Genuine & New Handset,/gp/customer-reviews/R23GVDFM6U0IA?ASIN=B01LZKSVRB,First of all one would want to know is the product genuine and not refurbished coz during Amazon Big Sale I got it for 35k.
Lalit A.,/gp/profile/amzn1.account.AG44VYCO7YDUQ2QYCFVBQRCIJWKA,I phone 7,/gp/customer-reviews/R228LU31AHU7BH?ASIN=B01LZKSVRB,This iPhone7 is in hearing problems. What Can I do
jaywant,/gp/profile/amzn1.account.AHWCAPZ6JIPIEO7DCFDTPGHZ24AA,Defective Iphone 7,/gp/customer-reviews/R3KT1QAB8KZMY7?ASIN=B01LZKSVRB,"i received defective iphone 7 32GB silver colour during ""Great Indian Festival Sale 2018""."
Amazon Customer,/gp/profile/amzn1.account.AE4UMIB75TL3QCPDXCVWYQWXHMGQ,BAD experience,/gp/customer-reviews/R1L0S7PS1CW3C7?ASIN=B01LZKSVRB,"I want my refund money , because this product is not working properly, sound quality is not good, scrolling and switch problem.I called to many time to customer  care but no response and no body is taking responsibility.My personal request do not buy  any  product from Amazon.in .Really bad experience.Better to go for shopping from Flip cart."
Ashok,/gp/profile/amzn1.account.AF642VMIT57BOBP6VRUJEFXVONGA,Poor product quality- Apple,/gp/customer-reviews/R29R0YUIB46QOA?ASIN=B01LZKSVRB,"Product Quality is big question mark?, display got a big black line in less than three week of purchase."
Mandeep B.,/gp/profile/amzn1.account.AE7ENJM35ZJPAUNV6MEHWLME6C6Q,One great PHONE!,/gp/customer-reviews/R3GYKGY6IL5LVT?ASIN=B01LZKSVRB,"Coming from oneplus 3, this phone has been a great upgrade. Always wanted to know why the iOS is so popular. Well it is because it never disappoints. I am writing this review one year after purchasing it and it works like a charm. Still. I don’t feel the need to upgrade to some other device (iphone 8, x or xs) because it works flawlessly without any lag or delay whatsoever. The camera is great."
Manisha Thapa ,/gp/profile/amzn1.account.AGLNKXIESTOLZKRUPA333IWGNFEA,didn't receive  Lightning to 3.5mm Headphone Jack Adapter with this product.,/gp/customer-reviews/R1YA5TK7XOUJ6H?ASIN=B01LZKSVRB,Received order on time but didn't receive  Lightning to 3.5mm Headphone Jack Adapter with this product.
Paro,/gp/profile/amzn1.account.AEJ6A3V5RC332BHOCIWHNGXWANXA,Three Stars,/gp/customer-reviews/R2X7RZLQ91YB77?ASIN=B01LZKSVRB,battery life is bad... also now ios system files take up 15 gb so approx 15gb left for files storage... becomes very less... apple should give users 32 gb useable space as they are charging us for it.
Kunal Sahare,/gp/profile/amzn1.account.AF3PVDNI3PFKBIGBASNTOQC5RXKQ,No Regrets!!,/gp/customer-reviews/R1V3E4O1T8U2YO?ASIN=B01LZKSVRB,Why upgrade when iphone 7 is enough for ur everyday use..plus it runs pubg at high settings..
Manpinder Singh,/gp/profile/amzn1.account.AFW7SW4PJA6US2Q4UOSVEIPNEPYQ,"Fraud AMAZON , Fraud APPLE",/gp/customer-reviews/R2QF24JVEJJROC?ASIN=B01LZKSVRB,1. Amazon delieved defective product.
Salil S.,/gp/profile/amzn1.account.AGBW5FXFAR25TLZ2C7YI67THG6ZQ,A good phone. A defective piece.,/gp/customer-reviews/R3GTC2CAZI2OU0?ASIN=B01LZKSVRB,"This is a good phone, great experience but I received a defective piece. Apple service center didn't help either."
